"","Date.Of.Stop","Time.Of.Stop","Agency","SubAgency","Description","Location","Latitude","Longitude","Accident","Belts","Personal.Injury","Property.Damage","Fatal","Commercial.License","HAZMAT","Commercial.Vehicle","Alcohol","Work.Zone","State","VehicleType","Year","Make","Model","Color","Violation.Type","Charge","Article","Contributed.To.Accident","Race","Gender","Driver.City","Driver.State","DL.State","Arrest.Type","Geolocation","State2"
"2766","11/02/2015","00:30:00","MCP","5th district, Germantown","DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE","CRYSTAL ROCK DRIVE AND 118",39.18247,-77.2589933333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2011,"KIA","SOUL","GREEN, LGT","Citation","13-411(f)","Transportation Article","No","WHITE","F","PANAMA CITY","FL","FL","A - Marked Patrol","(39.18247, -77.2589933333333)","Alabama"
"4775","11/24/2016","00:32:00","MCP","2nd district, Bethesda","FAILURE OF DR. TO MAKE LANE CHANGE TO AVAIL. LANE NOT IMMED. ADJ. TO STOPPED EMERG. VEH","CONNECTICUT AVE @ EAST WEST HWY",38.99046,-77.07674,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2003,"MERCURY","GRAND MARQUIS","SILVER","Citation","21-405(e1)","Transportation Article","No","ASIAN","M","MOBILE","AL","AL","A - Marked Patrol","(38.99046, -77.07674)","Alabama"
"4875","11/24/2016","00:02:00","MCP","3rd district, Silver Spring","FAILURE TO PROPERLY EQUIP & LOCATE HEADLAMPS ON MOTOR VEH.","SB NEW HAMPSHIRE AVE @ SCHINDLER DRIVE",39.032755,-76.9854716666667,"No","No","No","No","No","No","No","No","No","No","AL","05 - Light Duty Truck",2012,"CHEVROLET","TK COLORADO","N/A","Warning","22-203(b)","Transportation Article","No","BLACK","M","WASHINGTON","DC","MD","A - Marked Patrol","(39.032755, -76.9854716666667)","Alabama"
"5470","11/24/2016","23:43:00","MCP","4th district, Wheaton","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","UNIVERSITY BLVD @ INWOOD",39.0391666666667,-77.05435,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2012,"CHEVROLET","CAMARO","BLACK","Warning","21-201(a1)","Transportation Article","No","BLACK","M","MONTGOMERY","AL","AL","A - Marked Patrol","(39.0391666666667, -77.05435)","Alabama"
"5471","11/24/2016","23:43:00","MCP","4th district, Wheaton","DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS","UNIVERSITY BLVD @ INWOOD",39.0391666666667,-77.05435,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2012,"CHEVROLET","CAMARO","BLACK","Warning","13-411(d)","Transportation Article","No","BLACK","M","MONTGOMERY","AL","AL","A - Marked Patrol","(39.0391666666667, -77.05435)","Alabama"
"5472","11/24/2016","23:43:00","MCP","4th district, Wheaton","DRIVER FAILING TO GIVE TURN SIGNAL CONTINUOUSLY DURING LAST 100' OF TRAVEL BEFORE TURNING","UNIVERSITY BLVD @ INWOOD",39.0391666666667,-77.05435,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2012,"CHEVROLET","CAMARO","BLACK","Warning","21-604(d)","Transportation Article","No","BLACK","M","MONTGOMERY","AL","AL","A - Marked Patrol","(39.0391666666667, -77.05435)","Alabama"
"8925","12/02/2016","11:11:00","MCP","4th district, Wheaton","FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS","WIMBLEDON / LONDON BRIDGE DR",39.1006033333333,-77.04748,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2004,"FORD","E250","WHITE","Citation","16-116(a)","Transportation Article","No","BLACK","M","LAUREL","MD","MD","A - Marked Patrol","(39.1006033333333, -77.04748)","Alabama"
"9635","12/02/2016","11:11:00","MCP","4th district, Wheaton","FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR","WIMBLEDON / LONDON BRIDGE DR",39.1006033333333,-77.04748,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2004,"FORD","E250","WHITE","Warning","13-411(a)","Transportation Article","No","BLACK","M","LAUREL","MD","MD","A - Marked Patrol","(39.1006033333333, -77.04748)","Alabama"
"9636","12/02/2016","11:11:00","MCP","4th district, Wheaton","OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY","WIMBLEDON / LONDON BRIDGE DR",39.1006033333333,-77.04748,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2004,"FORD","E250","WHITE","Warning","13-401(b1)","Transportation Article","No","BLACK","M","LAUREL","MD","MD","A - Marked Patrol","(39.1006033333333, -77.04748)","Alabama"
"15619","12/12/2016","13:54:00","MCP","4th district, Wheaton","FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM COVERS","NEW HAMPSHIRE AVE @ NORWOOD RD",39.088715,-76.9998083333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2016,"MAZDA","3","BLUE","Warning","13-411(c1)","Transportation Article","No","WHITE","F","SILVER SPRING","MD","MD","A - Marked Patrol","(39.088715, -76.9998083333333)","Alabama"
