state_name,region_code,code
Saxony and Saxony-Anhalt,01 Region Dresden,01001-01462 - Dresden
Saxony and Saxony-Anhalt,01 Region Dresden,01616 - Strehla
Saxony and Saxony-Anhalt,01 Region Dresden,01654 - 01664 - Meißen
Saxony and Saxony-Anhalt,01 Region Dresden,01654 - Meißen
Saxony and Saxony-Anhalt,01 Region Dresden,01664 - Meißen (centre)
Saxony and Saxony-Anhalt,01 Region Dresden,01731 - Kreischa
Saxony and Saxony-Anhalt,01 Region Dresden,"01762 - Hartmannsdorf-Reichenau, Schmiedeberg"
Saxony and Saxony-Anhalt,01 Region Dresden,01774 - Pretzchendorf
Saxony and Saxony-Anhalt,01 Region Dresden,01809 - Dohna
Saxony and Saxony-Anhalt,01 Region Dresden,"01816 - Bad Gottleuba-Berggießhübel, Bad Gottleuba, Oelsen, Hellendorf, Markersbach"
Saxony and Saxony-Anhalt,01 Region Dresden,"01819 - Bahretal, Berggießhübel, Zwiesel, Bahra, Langenhennersdorf, Forsthaus"
Saxony and Saxony-Anhalt,01 Region Dresden,"01825 - Börnersdorf, Breitenau, Hennersbach"
Saxony and Saxony-Anhalt,01 Region Dresden,"01833 - Dürrröhrsdorf-Dittersbach, Stolpen"
Saxony and Saxony-Anhalt,01 Region Dresden,01847 - Lohmen
Saxony and Saxony-Anhalt,01 Region Dresden,01945-01987 are in Brandenburg
Saxony and Saxony-Anhalt,02 Region Bautzen,02xxx
Saxony and Saxony-Anhalt,02 Region Bautzen,02601-02626 - Bautzen
Saxony and Saxony-Anhalt,02 Region Bautzen,02627 - Ratibor
Saxony and Saxony-Anhalt,02 Region Bautzen,"02747 - Berthelsdorf, Großhennensdorf, Herrnhut, Strahlwalde"
Saxony and Saxony-Anhalt,02 Region Bautzen,02801-02829 - Görlitz
Saxony and Saxony-Anhalt,02 Region Bautzen,02894 - Reichenbach (Oberlausitz)
Saxony and Saxony-Anhalt,02 Region Bautzen,02999 - Knappensee
Saxony and Saxony-Anhalt,02 Region Bautzen,02977 - Hoyerswerda
Saxony and Saxony-Anhalt,02 Region Bautzen,02997 - Wittichenau
Saxony and Saxony-Anhalt,03 Region Cottbus,No Postal Code for this Region
Saxony and Saxony-Anhalt,03 Region Cottbus,This section is empty.  You can help by adding to it.
Saxony and Saxony-Anhalt,04 Region Leipzig,04xxx
Saxony and Saxony-Anhalt,04 Region Leipzig,04003-04357 - Leipzig
Saxony and Saxony-Anhalt,04 Region Leipzig,04003 - Leipzig
Saxony and Saxony-Anhalt,04 Region Leipzig,04109 - Leipzig (Neues Rathaus)
Saxony and Saxony-Anhalt,04 Region Leipzig,04357 - Leipzig
Saxony and Saxony-Anhalt,04 Region Leipzig,04416 - Markkleeberg
Saxony and Saxony-Anhalt,04 Region Leipzig,04509 - Delitzsch
Saxony and Saxony-Anhalt,04 Region Leipzig,04617 - 04626 is in Thuringia
Saxony and Saxony-Anhalt,04 Region Leipzig,04651 - Bad Lausick
Saxony and Saxony-Anhalt,04 Region Leipzig,04758 - Naundorf
Saxony and Saxony-Anhalt,04 Region Leipzig,04758 - Oschatz
